NAME,FID,SID,DTG,TEMP,SENSOR8,SENSOR16,SENSOR24,DATE
SMS2001,20,1,2016-07-18 15:58:32,76.94262468221697,13.277749431517243,10.535175562109345,53.89849280435411,07-18
SMS2001,20,1,2016-07-18 17:58:31,78.49620079322014,13.277749431517243,11.03592381704771,52.706776197520675,07-18
SMS2001,20,1,2016-07-18 19:58:31,82.86620955567261,13.277749431517243,10.566090603557342,54.007106629048025,07-18
SMS2001,20,1,2016-07-18 21:58:31,79.4214176154301,13.149386478033511,10.678656615612915,53.633376534346134,07-18
SMS2001,20,1,2016-07-18 23:58:31,76.25506124294421,13.045116199225236,10.70373308093098,53.89849280435411,07-18
SMS2001,20,1,2016-07-19 01:58:30,72.04927529167787,13.06577535342465,10.535175562109345,52.89149908489559,07-19
SMS2001,20,1,2016-07-19 03:58:30,70.24581887491192,12.434002130356262,10.670376207680471,51.41322105462543,07-19
SMS2001,20,1,2016-07-19 05:58:30,68.78585038362695,12.633341458614495,10.497241198196221,53.5814424698933,07-19
SMS2001,20,1,2016-07-19 07:58:30,68.16941150109058,12.633341458614495,10.566090603557342,53.89849280435411,07-19
SMS2001,20,1,2016-07-19 09:58:30,68.1134049150906,12.541371517528644,10.597538164322458,53.89849280435411,07-19
SMS2001,20,1,2016-07-19 11:58:29,70.6959562011498,12.469432104181848,10.31767942468928,56.86281657162077,07-19
SMS2001,20,1,2016-07-19 13:58:29,73.80454483233216,13.086531747403555,10.497241198196221,53.427793468772926,07-19
SMS2001,20,1,2016-07-19 15:58:30,79.36348677295834,12.727614242272885,10.880666559576746,51.59480732043964,07-19
SMS2001,20,1,2016-07-19 19:58:29,88.6646793849127,13.024554071000018,10.5896249352772,52.75245246342421,07-19
SMS2001,20,1,2016-07-19 21:58:28,89.94606041382568,13.660984435876534,10.474839551479505,53.13005736148647,07-19
SMS2001,20,1,2016-07-19 23:58:28,79.4793627002534,13.128337100585284,10.613469725851758,53.178804192972706,07-19
SMS2001,20,1,2016-07-20 01:58:28,73.63429184674614,13.024554071000018,10.637635889419796,52.98589301815356,07-20
SMS2001,20,1,2016-07-20 03:58:28,71.09021094775744,12.903206640395553,10.566090603557342,52.439677592668964,07-20
SMS2001,20,1,2016-07-20 05:58:27,69.51529074799186,12.577885180887414,10.597538164322458,53.178804192972706,07-20
SMS2001,20,1,2016-07-20 07:58:27,66.65899282426712,12.689626780157075,10.597538164322458,52.66143378096919,07-20
SMS2001,20,1,2016-07-20 09:58:27,65.65382382403524,12.52325106790417,10.566090603557342,52.439677592668964,07-20
SMS2001,20,1,2016-07-20 11:58:27,75.56917899830407,12.746747886285362,10.489744876023279,53.7913515427654,07-20
SMS2001,20,1,2016-07-20 13:58:27,82.16107055415105,12.689626780157075,10.597538164322458,53.227899454214274,07-20
SMS2001,20,1,2016-07-20 15:58:26,88.42174565067155,13.128337100585284,10.535175562109345,52.75245246342421,07-20
SMS2001,20,1,2016-07-20 17:58:26,87.09186351582242,13.256108568626855,10.504767165296784,52.93852545831093,07-20
SMS2001,20,1,2016-07-20 19:58:26,95.30887817305045,13.321329172225239,10.542855813936214,52.75245246342421,07-20
